,2
640,3711
641,3712
642,3714
643,3715
644,4104
645,4106
646,4108
647,4119
648,4133
649,4137
650,4142
651,4148
652,4155
653,4164
654,4190
655,4306
656,4414
657,4426
658,4438
659,4439
660,4440
661,4526
662,4532
663,4536
664,4540
665,4545
666,4551
667,4552
668,4555
669,4557
670,4560
671,4562
672,4564
673,4566
674,4571
675,4572
676,4576
677,4581
678,4583
679,4720
680,4722
681,4737
682,4739
683,4746
684,4755
685,4763
686,4764
687,4766
688,4770
689,4807
690,4904
691,4906
692,4912
693,4915
694,4916
695,4919
696,4927
697,4930
698,4934
699,4935
700,4938
701,4942
702,4943
703,4952
704,4956
705,4958
706,4960
707,4961
708,4967
709,4968
710,4976
711,4977
712,4989
713,4994
714,4999
715,5007
716,5203
717,5215
718,5222
719,5225
720,5234
721,5243
722,5244
723,5258
724,5269
725,5283
726,5284
727,5285
728,5288
729,5306
730,5388
731,5434
732,5469
733,5471
734,5484
735,5515
736,5519
737,5521
738,5522
739,5525
740,5531
741,5533
742,5534
743,5538
744,5546
745,5607
746,5608
747,5706
748,5871
749,5876
750,5880
751,5906
752,5907
753,6005
754,6024
755,6108
756,6112
757,6115
758,6116
759,6117
760,6120
761,6128
762,6133
763,6136
764,6139
765,6141
766,6142
767,6152
768,6153
769,6155
770,6164
771,6165
772,6166
773,6168
774,6176
775,6177
776,6183
777,6184
778,6189
779,6191
780,6192
781,6196
782,6197
783,6201
784,6202
785,6205
786,6206
787,6209
788,6213
789,6214
790,6215
791,6216
792,6224
793,6225
794,6226
795,6230
796,6235
797,6239
798,6243
799,6257
800,6269
801,6271
802,6277
803,6278
804,6281
805,6282
806,6283
807,6285
808,6288
809,6405
810,6409
811,6412
812,6414
813,6415
814,6416
815,6426
816,6431
817,6438
818,6442
819,6443
820,6449
821,6451
822,6456
823,6464
824,6477
825,6491
826,6504
827,6505
828,6515
829,6525
830,6531
831,6533
832,6541
833,6550
834,6552
835,6558
836,6573
837,6579
838,6581
839,6582
840,6585
841,6591
842,6592
843,6598
844,6605
845,6625
846,6641
847,6655
848,6666
849,6668
850,6669
851,6670
852,6671
853,6672
854,6674
855,6689
856,6691
857,6695
858,6698
859,6706
860,6715
861,6719
862,6743
863,6754
864,6756
865,6768
866,6770
867,6776
868,6781
869,6782
870,6789
871,6790
872,6792
873,6796
874,6799
875,6806
876,6807
877,6830
878,6834
879,6835
880,8011
881,8016
882,8021
883,8028
884,8033
885,8039
886,8046
887,8070
888,8072
889,8081
890,8101
891,8103
892,8104
893,8105
894,8110
895,8112
896,8114
897,8131
898,8150
899,8163
900,8201
901,8210
902,8213
903,8215
904,8222
905,8249
906,8261
907,8271
908,8341
909,8367
910,8374
911,8404
912,8411
913,8422
914,8429
915,8438
916,8442
917,8443
918,8454
919,8462
920,8463
921,8464
922,8466
923,8467
924,8473
925,8478
926,8481
927,8482
928,8488
929,8499
930,8926
931,8940
932,8996
933,9802
934,9902
935,9904
936,9905
937,9906
938,9907
939,9908
940,9910
941,9911
942,9912
943,9914
944,9917
945,9918
946,9919
947,9921
948,9924
949,9925
950,9926
951,9927
952,9928
953,9929
954,9930
955,9931
956,9933
957,9934
958,9935
959,9937
960,9938
961,9939
962,9940
963,9941
964,9942
965,9943
966,9944
967,9945
968,9946
969,9955
970,9958
